Timestamp;Light Intensity;Temperature in Celsius;Temperature in Fahrenheit
2022-04-09 00:00:03;2.81;16.6;61.88
2022-04-09 00:00:10;2.86;16.45;61.61
2022-04-09 00:00:16;3.08;16.58;61.84
2022-04-09 00:00:23;2.93;16.12;61.02
2022-04-09 00:00:29;2.88;16.62;61.92
2022-04-09 00:00:35;2.83;16.21;61.18
2022-04-09 00:00:42;2.88;16.28;61.3
2022-04-09 00:00:48;2.83;16.02;60.83
2022-04-09 00:00:55;2.78;16.3;61.33
2022-04-09 00:01:01;2.71;15.87;60.56
2022-04-09 00:01:07;2.95;16.06;60.91
2022-04-09 00:01:14;2.86;15.89;60.6
2022-04-09 00:01:20;2.88;16.25;61.26
2022-04-09 00:01:27;2.88;17.29;63.12
2022-04-09 00:01:33;3.0;16.15;61.06
2022-04-09 00:01:39;2.95;16.12;61.02
2022-04-09 00:01:46;3.15;16.38;61.49
2022-04-09 00:01:52;2.54;15.93;60.67
2022-04-09 00:01:59;3.15;16.17;61.1
2022-04-09 00:02:05;3.03;16.3;61.33
2022-04-09 00:02:11;3.15;16.25;61.26
2022-04-09 00:02:18;3.08;16.04;60.87
2022-04-09 00:02:24;3.08;15.82;60.48
2022-04-09 00:02:31;3.08;15.91;60.64
2022-04-09 00:02:37;3.13;16.4;61.53
2022-04-09 00:02:43;3.34;16.3;61.33
2022-04-09 00:02:50;3.44;16.64;61.95
2022-04-09 00:02:56;3.08;16.49;61.68
2022-04-09 00:03:03;2.88;16.49;61.68
2022-04-09 00:03:09;2.98;16.34;61.41
2022-04-09 00:03:16;2.88;16.3;61.33
2022-04-09 00:03:22;2.81;16.47;61.64
2022-04-09 00:03:28;2.83;16.25;61.26
2022-04-09 00:03:35;2.83;16.49;61.68
2022-04-09 00:03:41;2.76;16.06;60.91
2022-04-09 00:03:49;2.83;16.08;60.95
2022-04-09 00:03:55;2.73;15.97;60.75
2022-04-09 00:04:01;2.78;16.19;61.14
2022-04-09 00:04:08;2.86;16.15;61.06
2022-04-09 00:04:14;2.86;16.25;61.26
2022-04-09 00:04:21;2.86;16.21;61.18
2022-04-09 00:04:27;2.83;16.68;62.03
2022-04-09 00:04:33;2.98;16.28;61.3
2022-04-09 00:04:40;2.83;16.73;62.11
2022-04-09 00:04:46;2.98;16.43;61.57
2022-04-09 00:04:53;2.86;16.58;61.84
2022-04-09 00:04:59;2.83;16.38;61.49
2022-04-09 00:05:05;2.83;16.34;61.41
2022-04-09 00:05:12;2.83;16.17;61.1
2022-04-09 00:05:18;3.05;16.3;61.33
2022-04-09 00:05:25;2.81;16.08;60.95
2022-04-09 00:05:31;2.98;16.3;61.33
2022-04-09 00:05:37;2.81;16.56;61.8
2022-04-09 00:05:44;2.98;16.45;61.61
2022-04-09 00:05:50;2.78;16.12;61.02
2022-04-09 00:05:57;2.98;16.32;61.37
2022-04-09 00:06:03;2.88;16.04;60.87
2022-04-09 00:06:09;2.88;16.28;61.3
2022-04-09 00:06:16;3.0;16.23;61.22
2022-04-09 00:06:22;2.95;16.1;60.99
2022-04-09 00:06:29;2.88;16.0;60.79
2022-04-09 00:06:35;2.91;16.21;61.18
2022-04-09 00:06:42;2.95;16.23;61.22
2022-04-09 00:06:48;2.93;15.97;60.75
2022-04-09 00:06:54;2.88;16.25;61.26
2022-04-09 00:07:01;2.88;15.82;60.48
2022-04-09 00:07:07;2.78;16.0;60.79
2022-04-09 00:07:14;2.71;15.61;60.09
2022-04-09 00:07:20;2.78;15.87;60.56
2022-04-09 00:07:26;2.88;16.08;60.95
2022-04-09 00:07:33;2.86;16.04;60.87
2022-04-09 00:07:39;2.83;15.95;60.71
2022-04-09 00:07:46;2.86;16.96;62.54
2022-04-09 00:07:52;2.86;15.82;60.48
2022-04-09 00:07:58;2.86;16.1;60.99
2022-04-09 00:08:05;2.83;16.21;61.18
2022-04-09 00:08:11;2.93;16.43;61.57
2022-04-09 00:08:18;2.83;16.32;61.37
2022-04-09 00:08:24;2.76;16.28;61.3
2022-04-09 00:08:30;2.81;16.21;61.18
2022-04-09 00:08:37;2.95;16.23;61.22
2022-04-09 00:08:43;3.0;16.06;60.91
2022-04-09 00:08:50;2.83;16.0;60.79
2022-04-09 00:08:56;2.78;16.38;61.49
2022-04-09 00:09:02;2.83;16.43;61.57
2022-04-09 00:09:09;2.83;16.08;60.95
2022-04-09 00:09:15;3.03;16.08;60.95
2022-04-09 00:09:22;2.83;16.4;61.53
2022-04-09 00:09:28;2.88;16.12;61.02
2022-04-09 00:09:34;2.76;16.49;61.68
2022-04-09 00:09:41;2.88;16.32;61.37
2022-04-09 00:09:47;2.88;16.34;61.41
2022-04-09 00:09:54;2.95;16.62;61.92
2022-04-09 00:10:00;3.05;16.3;61.33
2022-04-09 00:10:06;2.81;16.34;61.41
2022-04-09 00:10:13;2.86;16.32;61.37
2022-04-09 00:10:19;2.83;16.34;61.41
2022-04-09 00:10:26;3.1;16.23;61.22
2022-04-09 00:10:32;3.03;16.45;61.61
2022-04-09 00:10:38;2.81;16.62;61.92
2022-04-09 00:10:45;3.08;16.28;61.3
2022-04-09 00:10:51;2.95;16.21;61.18
2022-04-09 00:10:58;2.93;16.32;61.37
2022-04-09 00:11:04;2.83;16.34;61.41
2022-04-09 00:11:10;2.83;16.17;61.1
2022-04-09 00:11:17;2.95;16.21;61.18
2022-04-09 00:11:23;2.76;16.47;61.64
2022-04-09 00:11:30;2.86;16.38;61.49
2022-04-09 00:11:36;3.05;16.6;61.88
2022-04-09 00:11:42;2.88;16.45;61.61
2022-04-09 00:11:49;2.95;16.47;61.64
2022-04-09 00:11:55;2.95;16.25;61.26
2022-04-09 00:12:02;2.98;16.12;61.02
2022-04-09 00:12:08;2.81;16.23;61.22
2022-04-09 00:12:14;2.93;16.17;61.1
2022-04-09 00:12:21;2.83;16.6;61.88
2022-04-09 00:12:27;2.88;16.43;61.57
2022-04-09 00:12:34;2.91;16.51;61.72
2022-04-09 00:12:40;2.76;16.58;61.84
2022-04-09 00:12:46;2.86;16.32;61.37
2022-04-09 00:12:53;2.98;16.38;61.49
2022-04-09 00:12:59;2.95;16.25;61.26
2022-04-09 00:13:06;2.88;16.28;61.3
2022-04-09 00:13:12;2.91;16.38;61.49
2022-04-09 00:13:18;3.0;16.38;61.49
2022-04-09 00:13:25;2.88;16.68;62.03
2022-04-09 00:13:31;3.05;16.81;62.26
2022-04-09 00:13:38;2.88;16.86;62.34
2022-04-09 00:13:44;2.88;16.56;61.8
2022-04-09 00:13:51;2.86;16.6;61.88
2022-04-09 00:13:57;2.83;16.64;61.95
2022-04-09 00:14:03;2.88;16.45;61.61
2022-04-09 00:14:10;3.08;16.9;62.42
2022-04-09 00:14:16;2.98;16.68;62.03
2022-04-09 00:14:23;3.03;16.84;62.3
2022-04-09 00:14:29;3.08;16.96;62.54
2022-04-09 00:14:35;2.81;16.64;61.95
2022-04-09 00:14:42;2.83;16.53;61.76
2022-04-09 00:14:48;2.93;16.51;61.72
2022-04-09 00:14:55;2.95;16.64;61.95
2022-04-09 00:15:01;2.93;16.62;61.92
2022-04-09 00:15:07;2.86;16.77;62.19
2022-04-09 00:15:14;2.95;16.64;61.95
2022-04-09 00:15:20;2.93;16.92;62.46
2022-04-09 00:15:27;2.98;16.77;62.19
2022-04-09 00:15:33;2.88;16.81;62.26
2022-04-09 00:15:39;3.05;16.84;62.3
2022-04-09 00:15:46;2.83;16.66;61.99
2022-04-09 00:15:52;2.95;16.86;62.34
2022-04-09 00:15:59;2.93;16.68;62.03
2022-04-09 00:16:05;2.69;16.66;61.99
2022-04-09 00:16:11;3.03;16.58;61.84
2022-04-09 00:16:18;2.73;16.75;62.15
2022-04-09 00:16:24;2.93;16.68;62.03
2022-04-09 00:16:31;2.83;16.56;61.8
2022-04-09 00:16:37;2.78;16.49;61.68
2022-04-09 00:16:43;2.81;16.6;61.88
2022-04-09 00:16:50;2.83;16.84;62.3
2022-04-09 00:16:56;2.78;16.92;62.46
2022-04-09 00:17:03;3.0;16.92;62.46
2022-04-09 00:17:09;2.83;16.68;62.03
2022-04-09 00:17:15;2.73;16.6;61.88
2022-04-09 00:17:22;2.88;16.66;61.99
2022-04-09 00:17:28;2.78;16.49;61.68
2022-04-09 00:17:35;2.81;16.56;61.8
2022-04-09 00:17:41;2.76;16.6;61.88
2022-04-09 00:17:47;2.86;16.51;61.72
2022-04-09 00:17:54;2.95;16.43;61.57
2022-04-09 00:18:00;2.81;16.6;61.88
2022-04-09 00:18:07;3.0;16.23;61.22
2022-04-09 00:18:13;2.88;16.4;61.53
2022-04-09 00:18:19;3.0;16.3;61.33
2022-04-09 00:18:26;2.88;16.45;61.61
2022-04-09 00:18:32;2.81;16.6;61.88
2022-04-09 00:18:39;2.88;16.86;62.34
2022-04-09 00:18:45;2.83;16.6;61.88
2022-04-09 00:18:51;2.81;16.34;61.41
2022-04-09 00:18:58;2.93;16.43;61.57
2022-04-09 00:19:04;2.81;16.68;62.03
2022-04-09 00:19:11;2.83;16.77;62.19
2022-04-09 00:19:17;2.88;16.92;62.46
2022-04-09 00:19:23;2.73;16.86;62.34
2022-04-09 00:19:30;3.03;16.36;61.45
2022-04-09 00:19:36;2.83;16.4;61.53
2022-04-09 00:19:43;2.93;16.32;61.37
2022-04-09 00:19:49;2.95;16.43;61.57
2022-04-09 00:19:55;3.05;16.64;61.95
2022-04-09 00:20:02;2.86;17.07;62.73
2022-04-09 00:20:08;2.95;16.79;62.23
2022-04-09 00:20:15;2.83;17.61;63.7
2022-04-09 00:20:21;2.83;16.84;62.3
2022-04-09 00:20:27;2.95;16.64;61.95
2022-04-09 00:20:34;3.05;16.66;61.99
2022-04-09 00:20:40;2.95;16.45;61.61
2022-04-09 00:20:47;2.86;16.66;61.99
2022-04-09 00:20:53;2.83;16.84;62.3
2022-04-09 00:20:59;2.81;16.45;61.61
2022-04-09 00:21:06;2.88;16.66;61.99
2022-04-09 00:21:12;2.93;16.6;61.88
2022-04-09 00:21:19;2.86;16.86;62.34
2022-04-09 00:21:25;3.17;16.84;62.3
2022-04-09 00:21:32;2.95;17.24;63.04
2022-04-09 00:21:38;3.03;17.01;62.61
2022-04-09 00:21:44;3.05;17.16;62.88
2022-04-09 00:21:51;3.17;16.79;62.23
2022-04-09 00:21:57;2.88;16.92;62.46
2022-04-09 00:22:04;3.0;17.12;62.81
2022-04-09 00:22:10;2.98;16.79;62.23
2022-04-09 00:22:16;3.0;17.03;62.65
2022-04-09 00:22:23;2.83;16.86;62.34
2022-04-09 00:22:29;2.88;16.4;61.53
2022-04-09 00:22:36;2.93;16.45;61.61
2022-04-09 00:22:42;2.88;16.3;61.33
2022-04-09 00:22:48;2.91;16.49;61.68
2022-04-09 00:22:55;2.98;15.97;60.75
2022-04-09 00:23:01;2.91;16.21;61.18
2022-04-09 00:23:08;2.95;15.97;60.75
2022-04-09 00:23:14;2.95;16.0;60.79
2022-04-09 00:23:20;3.13;16.38;61.49
2022-04-09 00:23:27;2.93;16.12;61.02
2022-04-09 00:23:33;3.13;16.19;61.14
2022-04-09 00:23:40;3.0;16.21;61.18
2022-04-09 00:23:46;3.05;16.28;61.3
2022-04-09 00:23:52;2.88;16.47;61.64
2022-04-09 00:23:59;2.93;16.28;61.3
2022-04-09 00:24:05;3.0;15.97;60.75
2022-04-09 00:24:12;2.81;16.15;61.06
2022-04-09 00:24:18;2.91;16.21;61.18
2022-04-09 00:24:24;2.98;16.43;61.57
2022-04-09 00:24:31;2.83;16.17;61.1
2022-04-09 00:24:37;3.17;15.95;60.71
2022-04-09 00:24:44;2.86;16.17;61.1
2022-04-09 00:24:50;2.98;16.04;60.87
2022-04-09 00:24:56;2.83;16.21;61.18
2022-04-09 00:25:03;2.88;16.08;60.95
2022-04-09 00:25:09;2.98;15.74;60.33
2022-04-09 00:25:16;2.86;15.97;60.75
2022-04-09 00:25:22;3.0;15.89;60.6
2022-04-09 00:25:28;3.0;15.74;60.33
2022-04-09 00:25:35;2.95;15.95;60.71
2022-04-09 00:25:41;2.93;15.87;60.56
